"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CM_cdhit-1_host-transcript_245176",14.0623018000877,21.8161696375989,2.93123910166964,7.44264417910239,9.86896517567098e-14,1.08358879065488e-10
"CM_cdhit-1_host-transcript_245216",14.0623018000877,21.8161696375989,2.93123910166964,7.44264417910239,9.86896517567098e-14,1.08358879065488e-10
"CM_cdhit-1_host-transcript_246255",14.9276742185547,21.9011370066778,2.93419858031928,7.46409501850917,8.38740615525229e-14,1.08358879065488e-10
"CM_cdhit-1_host-transcript_249814",14.2786449047045,21.8365750891886,2.93210914698172,7.44739503018395,9.52012409731497e-14,1.08358879065488e-10
"CM_cdhit-1_host-transcript_96274",16.8854179313027,22.0610458203603,2.96814089046875,7.43261409564565,1.06472191826326e-13,1.08358879065488e-10
"CM_cdhit-1_host-transcript_98493",16.8854179313027,22.0610458203603,2.96814089046875,7.43261409564565,1.06472191826326e-13,1.08358879065488e-10
"CM_cdhit-1_host-transcript_102042",29.6356314712659,20.995556885407,3.0048970483648,6.98711355080611,2.80599136480249e-12,2.68718567780717e-09
"CM_cdhit-1_host-transcript_94212",18.4739110855642,-21.0158158883632,3.00877177871909,-6.98484878015912,2.85162965455306e-12,2.68718567780717e-09
"CM_cdhit-1_host-transcript_77928",17.6341878544022,-20.9507654276538,3.00625018841396,-6.96906914414432,3.1904487861681e-12,2.79912374022327e-09
"CM_cdhit-1_host-transcript_89025",17.6341878544022,-20.9507654276538,3.00625018841396,-6.96906914414432,3.1904487861681e-12,2.79912374022327e-09
"CM_cdhit-1_host-transcript_82847",16.3746030076592,-20.8452393676,3.00245633552263,-6.94272856560011,3.84597967220147e-12,2.91405863846343e-09
"CM_cdhit-1_host-transcript_82906",15.9547413920782,-20.8104199349095,3.00119511727519,-6.93404431292142,4.08976451648515e-12,2.91405863846343e-09
"CM_cdhit-1_host-transcript_82998",15.9547413920782,-20.8104199349095,3.00119511727519,-6.93404431292142,4.08976451648515e-12,2.91405863846343e-09
"CM_cdhit-1_host-transcript_83019",15.7448105842877,-20.7909777648726,3.0005662164714,-6.92901814688905,4.2377144842647e-12,2.91405863846343e-09
"CM_cdhit-1_host-transcript_83213",15.7448105842877,-20.7909777648726,3.0005662164714,-6.92901814688905,4.2377144842647e-12,2.91405863846343e-09
"CM_cdhit-1_host-transcript_88393",16.7944646232402,-20.8799482763448,3.0037205047508,-6.95136190045655,3.61776456078965e-12,2.91405863846343e-09
"CM_cdhit-1_host-transcript_90926",16.7944646232402,-20.8799482763448,3.0037205047508,-6.95136190045655,3.61776456078965e-12,2.91405863846343e-09
"CM_cdhit-1_host-transcript_98382",15.9547413920782,-20.8104199349095,3.00119511727519,-6.93404431292142,4.08976451648515e-12,2.91405863846343e-09
"CM_cdhit-1_host-transcript_136780",141.542400740079,9.9415795045365,1.75896731258451,5.65194101869296,1.58646033274495e-08,1.06221869068499e-05
"CM_cdhit-1_host-transcript_239241",1228.87101036434,9.36175377532269,1.66492095676272,5.62294188039157,1.87732576396119e-08,1.22473844647345e-05
"CM_cdhit-1_host-transcript_98111",176.403121557151,11.2586088071525,2.03283116779003,5.53838852214775,3.05267458923543e-08,1.94172998934793e-05
"CM_cdhit-1_host-transcript_91510",1782.80407166214,-13.7705956286792,2.58251715112355,-5.33223782180426,9.70097726140042e-08,6.02004791370271e-05
"CM_cdhit-1_host-transcript_66752",142.31391684498,-9.51456879408175,1.84824031824403,-5.14790674143571,2.63409385827107e-07,0.000159569642942836
"CM_cdhit-1_host-transcript_38803",903.772638728466,-7.44103469045523,1.46198636215021,-5.08967448883131,3.58678681946144e-07,0.000212229341971064
"CM_cdhit-1_host-transcript_38511",64.4314334204377,9.80295961280684,1.9308495685664,5.07701882756473,3.83402893666164e-07,0.000221702723262459
"CM_cdhit-1_host-transcript_197849",265.021834306062,11.845409379983,2.33605179325489,5.0706963836099,3.96362674135052e-07,0.000224103455955958
"CM_cdhit-1_host-transcript_255296",1015.13600410542,7.49640707946504,1.50260766001809,4.98893176105252,6.07140870642056e-07,0.000335814895037953
"CM_cdhit-1_host-transcript_75096",344.721192192115,-10.8005663494856,2.19576780498098,-4.9188107799855,8.70715883399031e-07,0.000471353706836628
"CM_cdhit-1_host-transcript_75093",1369.58295460117,-10.6856503222269,2.17506828897087,-4.91278842894757,8.97901527873599e-07,0.0004759439286185
"CM_cdhit-1_host-transcript_198609",2625.43227756394,-10.8984527413235,2.22155304021415,-4.90578102077315,9.3056299848819e-07,0.000483190089194592
"CM_cdhit-1_host-transcript_21486",986.246187685077,-10.1752334146694,2.07667019834179,-4.89978303863284,9.59425436443424e-07,0.000488213227588601
"CM_cdhit-1_host-transcript_248084",1024.79215287569,9.59196374914386,1.95927210560508,4.89567718628933,9.79677740786673e-07,0.000488743936447752
"CM_cdhit-1_host-transcript_85996",66.4803370921116,9.8498751971633,2.01993834107368,4.87632468619201,1.08080656043387e-06,0.000518848326738094
"CM_cdhit-1_host-transcript_91482",265.893460128356,8.4660993851715,1.73541794088759,4.87842103374905,1.06938461043613e-06,0.000518848326738094
"CM_cdhit-1_host-transcript_248480",35.258132062965,8.93664654256996,1.85264746709544,4.82371670881387,1.40907514186593e-06,0.000663909237675833
"CM_cdhit-1_host-transcript_254970",9336.13121612887,9.37852840958223,1.94713843554273,4.81656991531171,1.46047007256256e-06,0.000675613455567442
