"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CM_cdhit-1_transcript_35412",18.9667342658248,-21.3195543567346,3.60117686792312,-5.92016308519444,3.21622526699419e-09,1.46882662779368e-07
"CM_cdhit-1_transcript_45396",18.9667342658248,-21.3195543567346,3.60117686792312,-5.92016308519444,3.21622526699419e-09,1.46882662779368e-07
"CM_cdhit-1_transcript_48023",18.9667342658248,-21.3195543567346,3.60117686792312,-5.92016308519444,3.21622526699419e-09,1.46882662779368e-07
"CM_cdhit-1_transcript_5876",18.7069159882107,-21.3034277232187,3.60067990518883,-5.91650140644798,3.28861662471777e-09,1.49798622721235e-07
"CM_cdhit-1_transcript_27579",19.4863708210528,-21.3059727582991,3.60216894119351,-5.91476221857595,3.32355364996452e-09,1.50607649507566e-07
"CM_cdhit-1_transcript_47614",19.4863708210528,-21.3059727582991,3.60216894119351,-5.91476221857595,3.32355364996452e-09,1.50607649507566e-07
"CM_cdhit-1_transcript_32223",18.4470977105967,-21.2828738029441,3.60018268411479,-5.91160940161487,3.38781135673514e-09,1.51561346334347e-07
"CM_cdhit-1_transcript_41746",18.4470977105967,-21.2828738029441,3.60018268411479,-5.91160940161487,3.38781135673514e-09,1.51561346334347e-07
"CM_cdhit-1_transcript_49823",18.4470977105967,-21.2828738029441,3.60018268411479,-5.91160940161487,3.38781135673514e-09,1.51561346334347e-07
"CM_cdhit-1_transcript_8276",18.4470977105967,-21.2828738029441,3.60018268411479,-5.91160940161487,3.38781135673514e-09,1.51561346334347e-07
"CM_cdhit-1_transcript_9924",18.4470977105967,-21.2828738029441,3.60018268411479,-5.91160940161487,3.38781135673514e-09,1.51561346334347e-07
"CM_cdhit-1_transcript_15286",18.1872794329826,-21.2633871756904,3.59968546635071,-5.90701253608326,3.48367252215943e-09,1.53500414625904e-07
"CM_cdhit-1_transcript_22635",18.1872794329826,-21.2633871756904,3.59968546635071,-5.90701253608326,3.48367252215943e-09,1.53500414625904e-07
"CM_cdhit-1_transcript_29050",18.1872794329826,-21.2633871756904,3.59968546635071,-5.90701253608326,3.48367252215943e-09,1.53500414625904e-07
"CM_cdhit-1_transcript_2941",18.1872794329826,-21.2633871756904,3.59968546635071,-5.90701253608326,3.48367252215943e-09,1.53500414625904e-07
"CM_cdhit-1_transcript_43963",18.1872794329826,-21.2633871756904,3.59968546635071,-5.90701253608326,3.48367252215943e-09,1.53500414625904e-07
"CM_cdhit-1_transcript_821",18.1872794329826,-21.2633871756904,3.59968546635071,-5.90701253608326,3.48367252215943e-09,1.53500414625904e-07
"CM_cdhit-1_transcript_19850",17.9274611553686,-21.2433480868304,3.59918836402249,-5.90226071499316,3.58553946064452e-09,1.5602879781966e-07
"CM_cdhit-1_transcript_21016",17.9274611553686,-21.2433480868304,3.59918836402249,-5.90226071499316,3.58553946064452e-09,1.5602879781966e-07
"CM_cdhit-1_transcript_26113",17.9274611553686,-21.2433480868304,3.59918836402249,-5.90226071499316,3.58553946064452e-09,1.5602879781966e-07
"CM_cdhit-1_transcript_29288",17.9274611553686,-21.2433480868304,3.59918836402249,-5.90226071499316,3.58553946064452e-09,1.5602879781966e-07
"CM_cdhit-1_transcript_50850",17.9274611553686,-21.2433480868304,3.59918836402249,-5.90226071499316,3.58553946064452e-09,1.5602879781966e-07
"CM_cdhit-1_transcript_18728",17.6676428777546,-21.2221811474709,3.59869164518029,-5.89719354696413,3.69736082414893e-09,1.59313554725061e-07
"CM_cdhit-1_transcript_19870",17.6676428777546,-21.2221811474709,3.59869164518029,-5.89719354696413,3.69736082414893e-09,1.59313554725061e-07
"CM_cdhit-1_transcript_50791",17.6676428777546,-21.2221811474709,3.59869164518029,-5.89719354696413,3.69736082414893e-09,1.59313554725061e-07
"CM_cdhit-1_transcript_6622",17.6676428777546,-21.2221811474709,3.59869164518029,-5.89719354696413,3.69736082414893e-09,1.59313554725061e-07
"CM_cdhit-1_transcript_10997",17.4078246001405,-21.1987513461514,3.59819568185147,-5.89149485478884,3.82717578640083e-09,1.62905780985707e-07
"CM_cdhit-1_transcript_11725",17.4078246001405,-21.1987513461514,3.59819568185147,-5.89149485478884,3.82717578640083e-09,1.62905780985707e-07
"CM_cdhit-1_transcript_24563",17.4078246001405,-21.1987513461514,3.59819568185147,-5.89149485478884,3.82717578640083e-09,1.62905780985707e-07
"CM_cdhit-1_transcript_34568",17.4078246001405,-21.1987513461514,3.59819568185147,-5.89149485478884,3.82717578640083e-09,1.62905780985707e-07
"CM_cdhit-1_transcript_5293",17.4078246001405,-21.1987513461514,3.59819568185147,-5.89149485478884,3.82717578640083e-09,1.62905780985707e-07
"CM_cdhit-1_transcript_5770",16.8881880449125,-21.16098885573,3.59720642700008,-5.88261732685088,4.03828876406735e-09,1.70649325434817e-07
"CM_cdhit-1_transcript_7865",16.8881880449125,-21.16098885573,3.59720642700008,-5.88261732685088,4.03828876406735e-09,1.70649325434817e-07
"CM_cdhit-1_transcript_8090",16.8881880449125,-21.16098885573,3.59720642700008,-5.88261732685088,4.03828876406735e-09,1.70649325434817e-07
"CM_cdhit-1_transcript_1780",16.6283697672984,-21.1375115506874,3.59671400999697,-5.87689526938653,4.18032492197471e-09,1.75383631953757e-07
"CM_cdhit-1_transcript_54097",16.6283697672984,-21.1375115506874,3.59671400999697,-5.87689526938653,4.18032492197471e-09,1.75383631953757e-07
"CM_cdhit-1_transcript_5469",16.6283697672984,-21.1375115506874,3.59671400999697,-5.87689526938653,4.18032492197471e-09,1.75383631953757e-07
"CM_cdhit-1_transcript_22659",16.3685514896844,-21.1132726283099,3.59622350125035,-5.87095674697891,4.33287313367397e-09,1.78789637988801e-07
"CM_cdhit-1_transcript_2347",16.3685514896844,-21.1132726283099,3.59622350125035,-5.87095674697891,4.33287313367397e-09,1.78789637988801e-07
"CM_cdhit-1_transcript_26095",16.3685514896844,-21.1132726283099,3.59622350125035,-5.87095674697891,4.33287313367397e-09,1.78789637988801e-07
"CM_cdhit-1_transcript_3131",16.3685514896844,-21.1132726283099,3.59622350125035,-5.87095674697891,4.33287313367397e-09,1.78789637988801e-07
"CM_cdhit-1_transcript_40574",16.3685514896844,-21.1132726283099,3.59622350125035,-5.87095674697891,4.33287313367397e-09,1.78789637988801e-07
"CM_cdhit-1_transcript_5275",16.3685514896844,-21.1132726283099,3.59622350125035,-5.87095674697891,4.33287313367397e-09,1.78789637988801e-07
"CM_cdhit-1_transcript_54526",16.3685514896844,-21.1132726283099,3.59622350125035,-5.87095674697891,4.33287313367397e-09,1.78789637988801e-07
"CM_cdhit-1_transcript_15304",16.1087332120703,-21.0931518401924,3.59573524312425,-5.8661582163277,4.46008231973514e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_20165",19.2265525434388,-21.1254551051708,3.60167314744036,-5.8654559257228,4.4790023446424e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_22159",16.1087332120703,-21.0931518401924,3.59573524312425,-5.8661582163277,4.46008231973514e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_24565",16.1087332120703,-21.0931518401924,3.59573524312425,-5.8661582163277,4.46008231973514e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_24671",16.1087332120703,-21.0931518401924,3.59573524312425,-5.8661582163277,4.46008231973514e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_25604",16.1087332120703,-21.0931518401924,3.59573524312425,-5.8661582163277,4.46008231973514e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_26279",16.1087332120703,-21.0931518401924,3.59573524312425,-5.8661582163277,4.46008231973514e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_27782",16.1087332120703,-21.0931518401924,3.59573524312425,-5.8661582163277,4.46008231973514e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_28828",16.1087332120703,-21.0931518401924,3.59573524312425,-5.8661582163277,4.46008231973514e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_3375",19.2265525434388,-21.1254551051708,3.60167314744036,-5.8654559257228,4.4790023446424e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_38998",16.1087332120703,-21.0931518401924,3.59573524312425,-5.8661582163277,4.46008231973514e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_39031",16.1087332120703,-21.0931518401924,3.59573524312425,-5.8661582163277,4.46008231973514e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_50440",19.2265525434388,-21.1254551051708,3.60167314744036,-5.8654559257228,4.4790023446424e-09,1.79333936342451e-07
"CM_cdhit-1_transcript_1751",15.8489149344563,-21.0719194729823,3.5952497121875,-5.86104475623788,4.59963971526757e-09,1.8086072127051e-07
"CM_cdhit-1_transcript_187524",15.8489149344563,-21.0719194729823,3.5952497121875,-5.86104475623788,4.59963971526757e-09,1.8086072127051e-07
"CM_cdhit-1_transcript_26970",15.8489149344563,-21.0719194729823,3.5952497121875,-5.86104475623788,4.59963971526757e-09,1.8086072127051e-07
"CM_cdhit-1_transcript_32222",15.8489149344563,-21.0719194729823,3.5952497121875,-5.86104475623788,4.59963971526757e-09,1.8086072127051e-07
"CM_cdhit-1_transcript_43531",15.8489149344563,-21.0719194729823,3.5952497121875,-5.86104475623788,4.59963971526757e-09,1.8086072127051e-07
"CM_cdhit-1_transcript_45621",15.8489149344563,-21.0719194729823,3.5952497121875,-5.86104475623788,4.59963971526757e-09,1.8086072127051e-07
"CM_cdhit-1_transcript_51012",15.8489149344563,-21.0719194729823,3.5952497121875,-5.86104475623788,4.59963971526757e-09,1.8086072127051e-07
"CM_cdhit-1_transcript_5718",15.8489149344563,-21.0719194729823,3.5952497121875,-5.86104475623788,4.59963971526757e-09,1.8086072127051e-07
"CM_cdhit-1_transcript_22552",15.3292783792282,-21.0244512022473,3.59428867623463,-5.84940529158401,4.93333683927913e-09,1.92257618112085e-07
"CM_cdhit-1_transcript_36402",15.3292783792282,-21.0244512022473,3.59428867623463,-5.84940529158401,4.93333683927913e-09,1.92257618112085e-07
"CM_cdhit-1_transcript_50968",15.3292783792282,-21.0244512022473,3.59428867623463,-5.84940529158401,4.93333683927913e-09,1.92257618112085e-07
"CM_cdhit-1_transcript_5433",15.3292783792282,-21.0244512022473,3.59428867623463,-5.84940529158401,4.93333683927913e-09,1.92257618112085e-07
"CM_cdhit-1_transcript_17724",19.7461890986669,-21.0625477530006,3.60266461561517,-5.8463803879241,5.02384509331766e-09,1.9448823708943e-07
"CM_cdhit-1_transcript_4280",19.7461890986669,-21.0625477530006,3.60266461561517,-5.8463803879241,5.02384509331766e-09,1.9448823708943e-07
"CM_cdhit-1_transcript_49333",19.7461890986669,-21.0625477530006,3.60266461561517,-5.8463803879241,5.02384509331766e-09,1.9448823708943e-07
"CM_cdhit-1_transcript_1115",15.5890966568423,-20.9303712568075,3.59476876774542,-5.82245273871527,5.79902014514246e-09,2.22046760448392e-07
"CM_cdhit-1_transcript_2523",15.5890966568423,-20.9303712568075,3.59476876774542,-5.82245273871527,5.79902014514246e-09,2.22046760448392e-07
"CM_cdhit-1_transcript_31200",15.5890966568423,-20.9303712568075,3.59476876774542,-5.82245273871527,5.79902014514246e-09,2.22046760448392e-07
"CM_cdhit-1_transcript_46950",15.5890966568423,-20.9303712568075,3.59476876774542,-5.82245273871527,5.79902014514246e-09,2.22046760448392e-07
"CM_cdhit-1_transcript_7163",15.5890966568423,-20.9303712568075,3.59476876774542,-5.82245273871527,5.79902014514246e-09,2.22046760448392e-07
"CM_cdhit-1_transcript_326500",26.6463477124463,20.8423233672373,3.6072649758337,5.77787423626132,7.56503192968983e-09,2.86539881103608e-07
"CM_cdhit-1_transcript_330974",26.6463477124463,20.8423233672373,3.6072649758337,5.77787423626132,7.56503192968983e-09,2.86539881103608e-07
"CM_cdhit-1_transcript_332144",26.6463477124463,20.8423233672373,3.6072649758337,5.77787423626132,7.56503192968983e-09,2.86539881103608e-07
"CM_cdhit-1_transcript_365703",26.6463477124463,20.8423233672373,3.6072649758337,5.77787423626132,7.56503192968983e-09,2.86539881103608e-07
"CM_cdhit-1_transcript_369987",26.6463477124463,20.8423233672373,3.6072649758337,5.77787423626132,7.56503192968983e-09,2.86539881103608e-07
"CM_cdhit-1_transcript_13658",20.785462209123,-20.3725356130226,3.60463503684234,-5.65176097019491,1.58812337826257e-08,5.97659220699371e-07
"CM_cdhit-1_transcript_21603",20.785462209123,-20.3725356130226,3.60463503684234,-5.65176097019491,1.58812337826257e-08,5.97659220699371e-07
"CM_cdhit-1_transcript_3458",20.785462209123,-20.3725356130226,3.60463503684234,-5.65176097019491,1.58812337826257e-08,5.97659220699371e-07
"CM_cdhit-1_transcript_18580",17.1480063225265,-20.037491655413,3.59770120449544,-5.56952634931871,2.55432760891938e-08,9.4704531242324e-07
"CM_cdhit-1_transcript_28698",17.1480063225265,-20.037491655413,3.59770120449544,-5.56952634931871,2.55432760891938e-08,9.4704531242324e-07
"CM_cdhit-1_transcript_30061",17.1480063225265,-20.037491655413,3.59770120449544,-5.56952634931871,2.55432760891938e-08,9.4704531242324e-07
"CM_cdhit-1_transcript_37009",17.1480063225265,-20.037491655413,3.59770120449544,-5.56952634931871,2.55432760891938e-08,9.4704531242324e-07
"CM_cdhit-1_transcript_40914",17.1480063225265,-20.037491655413,3.59770120449544,-5.56952634931871,2.55432760891938e-08,9.4704531242324e-07
"CM_cdhit-1_transcript_46016",17.1480063225265,-20.037491655413,3.59770120449544,-5.56952634931871,2.55432760891938e-08,9.4704531242324e-07
"CM_cdhit-1_transcript_6900",17.1480063225265,-20.037491655413,3.59770120449544,-5.56952634931871,2.55432760891938e-08,9.4704531242324e-07
"CM_cdhit-1_transcript_37050",5723.09764597562,-13.2419229545956,2.85501593469288,-4.63812576094083,3.51582844915539e-06,0.000130078235259152
"CM_cdhit-1_transcript_331691",935.80534996462,13.3907849186124,2.96100519872315,4.52237805066561,6.11487177085933e-06,0.000225761065780127
"CM_cdhit-1_transcript_182544",3796.05074029928,-9.73365922888103,2.16817706102096,-4.48932857185455,7.14480191332204e-06,0.000263231914188926
"CM_cdhit-1_transcript_11247",1420.98335762642,-12.357745347135,2.88611950666018,-4.28178573985504,1.8539945507802e-05,0.00068162478903632
"CM_cdhit-1_transcript_81950",3055.11497712765,-11.2550284269754,2.72538711603924,-4.12969899238834,3.63238491596131e-05,0.00133265971278689
"CM_cdhit-1_transcript_361909",455.169580331495,12.3509505387992,3.04850897513286,4.05147258530244,5.08962903279167e-05,0.00186339925570078
"CM_cdhit-1_transcript_56473",403.329917890694,-11.8560274350613,2.94022511586,-4.03235363547782,5.52210072565702e-05,0.00201752250887182
"CM_cdhit-1_transcript_335997",1581.46181888295,10.3922230609751,2.58431454652762,4.02126864740148,5.78855423877331e-05,0.00211047558597438
"CM_cdhit-1_transcript_302060",4370.82896170944,10.2885216426236,2.57357121868989,3.9977606090346,6.39445721582867e-05,0.00232654763887941
"CM_cdhit-1_transcript_45324",346.941751627536,-11.6388641618598,2.93255615606561,-3.96884613370025,7.2221494558152e-05,0.00262225331276669
"CM_cdhit-1_transcript_386766",240.80257681786,11.4321801488293,2.9142272236365,3.92288564738741,8.74946852419652e-05,0.00317023614687674
"CM_cdhit-1_transcript_228048",1238.64647277545,-8.87368406453352,2.27368062509686,-3.9027838679654,9.50926108757654e-05,0.00343843116892432
"CM_cdhit-1_transcript_355222",343.765213121066,11.9458669412913,3.07990123317059,3.8786526050362,0.00010503662662048,0.0037901796729287
"CM_cdhit-1_transcript_128377",600.352814085878,12.7503627108456,3.30048116570475,3.86318299384175,0.000111919103401879,0.00403023678923767
"CM_cdhit-1_transcript_365118",558.599815092755,7.43915158229979,1.93153818358275,3.85141316155664,0.000117438173992632,0.00422031405186225
"CM_cdhit-1_transcript_187531",1872.89251712729,-9.4189749237166,2.47569494706053,-3.80457815891253,0.000142046056447268,0.00509419568898925
"CM_cdhit-1_transcript_32372",1275.10526257653,-11.0048489180525,2.93885733608262,-3.74460127170431,0.000180680487772306,0.0064665177838019
"CM_cdhit-1_transcript_212730",307.257808412369,-9.22737026992207,2.46498259611712,-3.74338150884196,0.000181560240354913,0.00648476972526293
"CM_cdhit-1_transcript_352967",788.067302493269,8.70562650183472,2.35252204257232,3.70055044938739,0.000215132302788387,0.00766824226422753
"CM_cdhit-1_transcript_81855",1743.7845260196,-8.58527985757539,2.32930853936274,-3.68576326943968,0.000228018230872838,0.00811106635865508
"CM_cdhit-1_transcript_153125",169.604085102512,-9.10357221604683,2.48256333018474,-3.66700502877781,0.000245407970684055,0.00871198295928396
"CM_cdhit-1_transcript_331995",339.370665691794,11.9273461809439,3.26330819113462,3.65498613135798,0.000257195880967663,0.00911200841319174
"CM_cdhit-1_transcript_51071",406.304062665381,-11.8615063978604,3.25560571748152,-3.64340999100967,0.000269049764817445,0.00951275347903937
"CM_cdhit-1_transcript_385525",617.518406663025,9.29170265110671,2.55201692199448,3.64092517217517,0.000271660089175784,0.00958572028948839
"CM_cdhit-1_transcript_128668",1282.92906306766,-8.4905008518143,2.33249116547663,-3.64009989726127,0.000272532285966738,0.00959718614256762
"CM_cdhit-1_transcript_153181",670.892003577039,-8.49808922825134,2.33502201867837,-3.63940432264587,0.000273269445809013,0.00960386026283097
"CM_cdhit-1_transcript_57667",1358.21552213081,-8.39518959611932,2.31446667328201,-3.62726743617984,0.000286436572069803,0.0100464763287763
"CM_cdhit-1_transcript_21542",120.360275426494,-10.1142194215534,2.79256234239823,-3.62184194350604,0.000292512830845819,0.0102239134366904
"CM_cdhit-1_transcript_385218",2087.46073460442,9.51636709457583,2.627589092618,3.62171053355006,0.00029266148971994,0.0102239134366904
"CM_cdhit-1_transcript_57599",485.570723372279,-9.69596214194306,2.67852595307408,-3.61988732303125,0.00029473133142309,0.0102757522051029
"CM_cdhit-1_transcript_128111",313.797280598927,-11.489554461755,3.20618865067813,-3.58355534048969,0.000338948910290072,0.0117939425392004
"CM_cdhit-1_transcript_177329",3599.67277554753,10.2783395044018,2.86880136859468,3.58279928925046,0.000339931796665685,0.0118047206299527
"CM_cdhit-1_transcript_187425",126.74789858276,-10.1876358042723,2.85705964454524,-3.56577638262568,0.000362780610798674,0.0125732876908624
"CM_cdhit-1_transcript_187426",92.822569010576,-9.740821340782,2.73637843982995,-3.55974933839463,0.000371208941535629,0.0128400221059375
"CM_cdhit-1_transcript_128661",1371.23894563929,-7.7052825950371,2.16509232713749,-3.55887021465935,0.000372453513461931,0.0128577111527203
"CM_cdhit-1_transcript_191176",806.899345256062,-8.80962745150135,2.47865031511115,-3.55420342990427,0.000379125834348085,0.0130623374400047
"CM_cdhit-1_transcript_37106",128.640828282663,-10.2086068801113,2.87425573849291,-3.55173923579399,0.000382693919365904,0.0131594181645487
"CM_cdhit-1_transcript_364761",347.346354387241,11.0334082891006,3.10897524997644,3.54888907178795,0.000386860014163152,0.0132766420124837
"CM_cdhit-1_transcript_385368",291.113578503372,11.7060080630605,3.29952363640156,3.54778730296566,0.00038848180253756,0.013306260490432
"CM_cdhit-1_transcript_7559",174.986790624341,-8.62426700873625,2.44773791877136,-3.52336209795908,0.000426108774571002,0.014566607367742
"CM_cdhit-1_transcript_331534",11033.0838659353,10.5187746759385,2.98626139557957,3.5223891289319,0.000427675887539413,0.0145917354859507
"CM_cdhit-1_transcript_31656",595.968369423206,-8.22204963211544,2.3350030791549,-3.52121575578017,0.000429572939336843,0.0146280012371849
